Timestamp,MSR_0x610,MSR_0x64F,MSR_0x6B0,SoC_Temp_C,Throttling_Flags
20260617_144317,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,51,NONE
20260617_144318,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,64,NONE
20260617_144319,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,68,NONE
20260617_144320,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,69,NONE
20260617_144321,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,72,NONE
20260617_144322,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,74,NONE
20260617_144323,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,75,NONE
20260617_144325,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,78,NONE
20260617_144326,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,79,NONE
20260617_144327,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,81,NONE
20260617_144328,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,83,NONE
20260617_144329,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,85,NONE
20260617_144330,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,86,NONE
20260617_144331,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,88,NONE
20260617_144332,0x000181b800dd8078,0x0000000018021000,0x0000000018000000,89,NONE
20260617_144333,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,86,NONE
20260617_144334,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,71,NONE
20260617_144335,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,68,NONE
20260617_144336,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,67,NONE
20260617_144337,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,66,NONE
20260617_144338,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,66,NONE
20260617_144339,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,65,NONE
20260617_144341,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,65,NONE
20260617_144342,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,65,NONE
20260617_144343,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,65,NONE
20260617_144344,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,64,NONE
20260617_144345,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,64,NONE
20260617_144346,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,63,NONE
20260617_144347,0x000181b800dd8078,0x000000001c020400,0x0000000018000000,63,NONE
20260617_144348,0x000181b800dd8078,0x000000001c020000,0x0000000018000000,71,NONE
