Timestamp,MSR_0x610,MSR_0x64F,MSR_0x6B0,SoC_Temp_C,PKG_Power_W,Throttling_Flags
20260624_144809,0x000181b800dd8078,0x000000001c020000,0x0000000014000000,54,0,NONE
20260624_144810,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,68,33,NONE
20260624_144811,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,70,34,NONE
20260624_144812,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,71,34,NONE
20260624_144813,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,75,35,NONE
20260624_144814,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,76,34,NONE
20260624_144815,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,78,35,NONE
20260624_144817,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,80,36,NONE
20260624_144818,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,82,35,NONE
20260624_144819,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,83,36,NONE
20260624_144820,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,85,37,NONE
20260624_144821,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,87,36,NONE
20260624_144822,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,87,37,NONE
20260624_144823,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,89,38,NONE
20260624_144824,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,90,36,NONE
20260624_144825,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,75,31,NONE
20260624_144826,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,70,18,NONE
20260624_144827,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,68,16,NONE
20260624_144828,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,67,16,NONE
20260624_144829,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144831,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,16,NONE
20260624_144832,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144833,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144834,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144835,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144836,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144837,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,16,NONE
20260624_144838,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144839,0x000181b800dd8078,0x000000001c020000,0x0000000014000000,61,14,NONE
20260624_144840,0x000181b800dd8078,0x000000001c020000,0x0000000014000000,62,1,NONE
